Geneid,SpleenLN.TIR1.Resting.rep_1,SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated.rep_3,Thymus.TIR1.Developing.rep_1,Thymus.WT.Developing.rep_1,SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Activated.rep_2,SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Activated.rep_1,Thymus.TIR1.Developing.rep_3,Thymus.WT.Developing.rep_3,SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated.rep_3,Thymus.TIR1.Developing.rep_2,Thymus.WT.Developing.rep_2,SpleenLN.WT.Resting.rep_1
Gm39459,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gm47068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19385,0,5,1,0,1,0,0,0,1,1,0,1,0,2,0,1,1
Gm34425,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
Gm47070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm39460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700020M21Rik,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4930593C16Rik,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Ctnnb1,3553,5008,4335,4210,4434,4639,3159,2459,2353,3281,6106,4660,3982,2996,6154,4528,4762
Mir7090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ulk4,11,5,28,8,3,18,39,8,7,11,9,3,7,8,6,23,7
Gm17157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm34655,54,1,36,34,21,57,56,0,26,4,106,73,17,18,52,34,50
Trak1,1019,1030,1383,927,1276,1467,985,528,1091,515,1547,996,529,853,978,1143,2019
C230053D17Rik,0,0,1,0,5,7,0,1,0,0,2,3,0,0,1,0,0
Gm47092,0,1,2,1,21,0,0,0,1,1,6,0,0,1,1,1,0
Cck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47095,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Gm38661,6,7,2,4,1,0,2,2,5,2,4,6,2,2,3,3,3
Lyzl4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Lyzl4os,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm47097,3,5,6,1,3,2,0,4,2,2,1,3,4,2,2,1,1
Vipr1,620,618,70,134,611,281,525,41,683,92,233,84,73,133,697,352,776
Sec22c,1658,1212,1083,968,1025,822,1443,664,713,1096,1363,1493,718,1122,1040,1780,1480
Ss18l2,982,860,724,956,1080,743,672,1153,810,1059,694,886,762,860,586,811,733
Nktr,4352,5694,3362,3916,6315,5338,4405,2905,4367,3191,6663,6065,3371,3683,6955,6598,5797
E530011L22Rik,106,79,87,119,83,79,102,91,93,102,120,144,72,82,82,87,89
Zfp651,13,15,6,7,6,12,8,14,15,32,12,17,12,12,10,16,8
Gm47108,2,3,0,6,5,0,1,1,4,2,1,1,2,0,3,0,4
